qseqid,sseqid,pident,ppos,length,evalue,bitscore
sp|A0A089QKZ7|Y155A_MYCTU,sp|A0A089QKZ7.1|,100.0,100.0,62,8.9e-37,119.0
sp|A0A089QRB9|MSL3_MYCTU,sp|A0A089QRB9.2|,100.0,100.0,2085,0.0,4186.0
sp|A0A089QRB9|MSL3_MYCTU,sp|O53901.2|,66.157,77.2,2092,0.0,2610.0
sp|A0A089QRB9|MSL3_MYCTU,sp|A5U9F4.1|,65.128,77.69,2102,0.0,2605.0
sp|A0A089QRB9|MSL3_MYCTU,sp|A1KQG0.1|,65.081,77.64,2102,0.0,2601.0
sp|A0A089QRB9|MSL3_MYCTU,sp|A0R1E8.1|,64.013,76.55,2098,0.0,2579.0
sp|A0A089QRB9|MSL3_MYCTU,sp|Q02251.2|,62.928,74.86,2104,0.0,2492.0
sp|A0A089QRB9|MSL3_MYCTU,sp|P96202.2|,37.558,53.28,2162,0.0,1147.0
sp|A0A089QRB9|MSL3_MYCTU,sp|I6XD69.1|,35.423,49.65,2137,0.0,874.0
sp|A0A089QRB9|MSL3_MYCTU,sp|I6XD69.1|,34.353,48.47,2125,0.0,848.0
sp|A0A089QRB9|MSL3_MYCTU,sp|E0D203.1|,35.101,47.9,2188,0.0,847.0
sp|A0A089QRB9|MSL3_MYCTU,sp|Q7TXK8.1|,34.317,47.56,2168,0.0,820.0
sp|A0A089QRB9|MSL3_MYCTU,sp|P9WQE2.1|,38.748,53.73,1422,0.0,795.0
sp|A0A089QRB9|MSL3_MYCTU,sp|Q7TXL7.1|,38.748,53.73,1422,0.0,795.0
sp|A0A089QRB9|MSL3_MYCTU,sp|Q03132.3|,33.24,47.12,2139,0.0,794.0
sp|A0A089QRB9|MSL3_MYCTU,sp|Q7TXL9.1|,44.891,62.04,822,0.0,641.0
sp|A0A089QRB9|MSL3_MYCTU,sp|P9WQE4.1|,44.891,62.04,822,0.0,640.0
sp|A0A089QRB9|MSL3_MYCTU,sp|B4ER95.1|,39.964,53.2,1126,0.0,639.0
sp|A0A089QRB9|MSL3_MYCTU,sp|E0D206.1|,37.087,50.18,1421,0.0,634.0
sp|A0A089QRB9|MSL3_MYCTU,sp|E0D206.1|,36.495,50.25,1381,0.0,632.0
sp|A0A089QRB9|MSL3_MYCTU,sp|B4ER95.1|,36.308,48.71,1468,0.0,629.0
sp|A0A089QRB9|MSL3_MYCTU,sp|B4ER92.1|,35.795,49.23,1422,0.0,619.0
sp|A0A089QRB9|MSL3_MYCTU,sp|P9WQE7.1|,39.257,55.02,996,0.0,614.0
sp|A0A089QRB9|MSL3_MYCTU,sp|P9WQE6.1|,39.157,54.92,996,0.0,612.0
sp|A0A089QRB9|MSL3_MYCTU,sp|Q7TXM0.1|,38.855,54.72,996,0.0,606.0
sp|A0A089QRB9|MSL3_MYCTU,sp|Q9ZGI4.1|,39.574,53.24,1127,5.11e-180,615.0
sp|A0A089QRB9|MSL3_MYCTU,sp|Q84HC6.1|,34.663,50.25,1379,5.2e-178,593.0
sp|A0A089QRB9|MSL3_MYCTU,sp|Q0CJ59.1|,32.359,48.78,1437,1.6100000000000001e-173,582.0
sp|A0A089QRB9|MSL3_MYCTU,sp|G3Y419.1|,31.742,47.89,1424,4.1699999999999996e-172,577.0
sp|A0A089QRB9|MSL3_MYCTU,sp|Q9ZGI2.1|,40.985,56.44,893,5.0799999999999996e-172,566.0
sp|A0A089QRB9|MSL3_MYCTU,sp|E0D205.1|,34.789,49.84,1282,6.14e-172,591.0
sp|A0A089QRB9|MSL3_MYCTU,sp|E0D205.1|,35.576,49.32,1397,1.0800000000000001e-169,584.0
sp|A0A089QRB9|MSL3_MYCTU,sp|Q9ZGI3.1|,41.077,55.44,891,2e-167,559.0
sp|A0A089QRB9|MSL3_MYCTU,sp|E0D202.2|,40.239,55.42,922,2.6900000000000002e-167,577.0
sp|A0A089QRB9|MSL3_MYCTU,sp|A0A0A0RM07.1|,30.677,49.79,1418,2.81e-167,564.0
sp|A0A089QRB9|MSL3_MYCTU,sp|E0D203.1|,35.072,49.42,1380,3.4600000000000004e-167,577.0
sp|A0A089QRB9|MSL3_MYCTU,sp|Q9ZGI4.1|,44.192,57.96,835,2.4100000000000002e-166,574.0
sp|A0A089QRB9|MSL3_MYCTU,sp|Q07017.1|,42.177,56.24,882,1.86e-165,571.0
sp|A0A089QRB9|MSL3_MYCTU,sp|B4ER96.1|,36.934,50.35,1148,1.1700000000000001e-163,560.0
sp|A0A089QRB9|MSL3_MYCTU,sp|Q03133.4|,41.203,55.73,881,4.7500000000000007e-163,563.0
sp|A0A089QRB9|MSL3_MYCTU,sp|G1XU04.1|,35.026,54.51,965,7.25e-163,551.0
sp|A0A089QRB9|MSL3_MYCTU,sp|Q03131.1|,41.855,57.24,884,9.750000000000001e-163,563.0
sp|E2FZM4|SOCA_MYCTU,sp|E2FZM4.1|,100.0,100.0,61,9.86e-38,122.0
sp|E2FZM5|SOCB_MYCTU,sp|E2FZM5.1|,100.0,100.0,54,1.42e-33,111.0
sp|I6WXK4|PTPB_MYCTU,sp|I6WXK4.1|,100.0,100.0,276,0.0,549.0
sp|I6WXS6|VPB51_MYCTU,sp|I6WXS6.1|,100.0,100.0,64,2.3e-39,126.0
sp|I6WZG6|ENCAP_MYCTU,sp|I6WZG6.1|,100.0,100.0,265,0.0,534.0
sp|I6WZK7|MMCO_MYCTU,sp|I6WZK7.1|,100.0,100.0,504,0.0,1026.0
sp|I6WZK7|MMCO_MYCTU,sp|Q47452.1|,33.514,47.3,370,4.460000000000001e-43,164.0
sp|I6WZK7|MMCO_MYCTU,sp|P59571.1|,33.77,50.49,305,6.54e-41,158.0
sp|I6WZK7|MMCO_MYCTU,sp|P12374.1|,31.844,48.6,358,9.27e-40,155.0
sp|I6WZK7|MMCO_MYCTU,sp|E9R598.1|,28.302,39.62,477,3.69e-35,142.0
sp|I6WZK7|MMCO_MYCTU,sp|J5JH35.1|,25.788,39.52,539,5.1299999999999995e-34,138.0
